latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
52.057774,-2.704697,,0,Europe/London,GMT

time,temperature_2m (°C),relative_humidity_2m (%)
2026-09-20T00:00,15.6,73
2026-09-20T01:00,15.1,77
2026-09-20T02:00,15.6,76
2026-09-20T03:00,15.5,76
2026-09-20T04:00,15.2,75
2026-09-20T05:00,14.9,77
2026-09-20T06:00,14.3,78
2026-09-20T07:00,14.1,75
2026-09-20T08:00,14.6,75
2026-09-20T09:00,15.4,69
2026-09-20T10:00,15.8,57
2026-09-20T11:00,17.0,51
2026-09-20T12:00,17.7,45
2026-09-20T13:00,18.4,44
2026-09-20T14:00,18.8,40
2026-09-20T15:00,19.1,40
2026-09-20T16:00,19.4,39
2026-09-20T17:00,19.0,40
2026-09-20T18:00,18.4,42
2026-09-20T19:00,17.1,48
2026-09-20T20:00,15.8,55
2026-09-20T21:00,14.4,61
2026-09-20T22:00,13.1,68
2026-09-20T23:00,12.5,70
2026-09-21T00:00,12.0,73
2026-09-21T01:00,11.7,74
2026-09-21T02:00,11.1,77
2026-09-21T03:00,10.4,81
2026-09-21T04:00,10.8,80
2026-09-21T05:00,9.7,84
2026-09-21T06:00,9.7,83
2026-09-21T07:00,9.7,86
2026-09-21T08:00,11.0,76
2026-09-21T09:00,12.0,72
2026-09-21T10:00,13.6,66
2026-09-21T11:00,15.2,57
2026-09-21T12:00,17.1,48
2026-09-21T13:00,18.6,43
2026-09-21T14:00,19.7,41
2026-09-21T15:00,20.4,41
2026-09-21T16:00,21.0,41
2026-09-21T17:00,21.3,42
2026-09-21T18:00,21.2,45
2026-09-21T19:00,19.7,57
2026-09-21T20:00,19.1,54
2026-09-21T21:00,17.9,62
2026-09-21T22:00,16.7,69
2026-09-21T23:00,15.8,74
2026-09-22T00:00,15.7,74
2026-09-22T01:00,14.7,83
2026-09-22T02:00,13.9,88
2026-09-22T03:00,13.3,90
2026-09-22T04:00,12.7,92
2026-09-22T05:00,12.6,93
2026-09-22T06:00,12.0,94
2026-09-22T07:00,11.4,96
2026-09-22T08:00,12.4,95
2026-09-22T09:00,13.2,94
2026-09-22T10:00,14.5,93
2026-09-22T11:00,15.6,91
2026-09-22T12:00,17.1,83
2026-09-22T13:00,18.4,77
2026-09-22T14:00,19.2,73
2026-09-22T15:00,19.8,71
2026-09-22T16:00,19.9,71
2026-09-22T17:00,19.4,76
2026-09-22T18:00,18.5,84
2026-09-22T19:00,17.5,90
2026-09-22T20:00,16.3,93
2026-09-22T21:00,15.1,96
2026-09-22T22:00,13.9,97
2026-09-22T23:00,12.9,98
2026-09-23T00:00,12.0,98
2026-09-23T01:00,11.4,98
2026-09-23T02:00,11.5,98
2026-09-23T03:00,12.0,99
2026-09-23T04:00,12.4,99
2026-09-23T05:00,12.3,100
2026-09-23T06:00,12.0,100
2026-09-23T07:00,12.1,100
2026-09-23T08:00,12.6,99
2026-09-23T09:00,13.3,97
2026-09-23T10:00,14.4,93
2026-09-23T11:00,16.3,83
2026-09-23T12:00,18.6,70
2026-09-23T13:00,19.8,63
2026-09-23T14:00,19.1,66
2026-09-23T15:00,17.3,74
2026-09-23T16:00,15.8,79
2026-09-23T17:00,15.0,77
2026-09-23T18:00,14.4,73
2026-09-23T19:00,13.8,71
2026-09-23T20:00,12.9,74
2026-09-23T21:00,11.9,79
2026-09-23T22:00,10.9,84
2026-09-23T23:00,9.8,88
2026-09-24T00:00,8.7,91
2026-09-24T01:00,7.7,94
2026-09-24T02:00,7.0,95
2026-09-24T03:00,6.5,96
2026-09-24T04:00,6.0,96
